comment,label,repeat words,comment after merge(close)?,same with last comment?,author reply interval(project),author reply interval(PR),declare reviewer's comment?
"LGTM, thank you @sguilhen",1,0,1,0,16,1,0
LGTM,1,0,0,0,5,4,0
Thanks!,1,0,1,0,20,3,0
we not support ShenTong database。。,1,1,1,0,12,3,0
Merging ...,1,0,1,0,11,1,0
"Edoardo, let me know whether you want to look into this further. Otherwise, I'll merge it and we'll look into this later. Thanks!",1,2,0,1,19,3,0
Thanks for your contribution @EronWright. Really good fix :-) Merging this PR.,1,0,0,0,10,1,0
"Looks good to me, thanks!",1,0,0,0,13,5,0
Thanks folks!,1,0,0,0,19,1,0
"I flattened the history & added rat exclusions in https://github.com/rmetzger/flink/tree/flink_docker_2
Here is the travis build: https://travis-ci.org/rmetzger/flink/builds/56010909.",1,0,0,0,1,2,0
I will merge after all the checks pass @Dguhr,1,0,1,0,24,5,0
Thank you @loicmathieu !,1,0,1,0,15,4,0
"@zhuoan The progress of this PR has not been upgraded for a long time. If there is no update, I will close it soon.",1,1,1,0,4,5,0
 +1 to merge,1,0,0,0,24,2,0
"Looks good, but I need a few more minutes to check this...",1,0,0,0,2,5,0
LGTM. I've run HealthRestCancellationIT.testHealthRestCancellation() several hundred times now with no failures.,1,0,0,0,1,2,0
Thanks,1,0,1,0,12,5,0
"Nice @apovzner, thanks for improving our system tests coverage!",1,0,1,0,22,4,0
"Once my credentials are ready, I'll merge.",1,0,0,0,16,2,0
lgtm,1,0,1,0,14,4,0
test this please,1,1,1,0,10,2,0
👍,1,0,0,0,19,4,0
LGTM,1,0,1,0,23,2,0
+1 LGTM,1,0,0,0,15,5,1
"OK cool, +1 close then;
I will ping @mariemayadi.",1,0,0,0,17,4,0
🌞,1,0,1,1,2,5,0
lgtm.,1,0,0,0,23,1,0
Will merge this…,1,0,1,1,1,4,0
"delInodes.add(inode);
should be called before the if",1,0,0,0,4,1,0
LGTM. Thanks for taking this on @aviemzur!,1,0,1,0,4,3,0
"OK I see the reason for removing it -- it's an Error in the background thread, and we only catch Exceptions. So we're going to lose test coverage for findDuplicatesByName(). But I guess that's not a huge loss.",1,0,0,0,8,2,0
retest this please,1,0,1,0,14,5,1
@keycloak-ci-bot test,1,0,0,0,18,2,0
"@hmlnarik This is great! Thank you very much, I really like it. I added few minor comments though, mainly in MapGroupProvider, but the same holds also for others.",1,3,1,0,15,1,0
"LGTM. I know you filed the ducktape test as a separate subtask, but in the future if you want to roll the system test update into the same patch, it's actually easier to review together for relatively small patches like this since the system test itself is the best validation of the original patch.",1,0,1,0,23,5,0
 @jackyLqq Hi what's going on with this PR? Do U want to continue or close it?,1,3,1,0,11,5,0
@999eagle Thanks!,1,1,1,0,18,5,0
"Jenkins, test this please.",1,0,1,0,21,4,0
If you were returning the Properties object directly from the REST endpoint then we could. Unfortunately we can't really do that for programatically build responses.,1,0,0,0,23,3,0
looks good,1,0,0,0,23,2,0
"That's a valid concern. I guess we really ought to do something staged, like after a couple of seconds print a message like ""Some tasks are taking a long time to finish"", then some time after that (configurable is reasonable I guess) we could print an error giving, like stack traces or something.
I'll make a note to look into this in the future, when things are a little less hectic.",1,1,0,0,16,1,0
LGTM,1,0,0,0,2,5,0
"Overall look good, thanks @ssilvert! Just a few minor comments.",1,0,1,0,5,5,0
Looks good overall. Would be good to add a test case,1,0,1,0,1,2,0
" @granthenke, it's a good point to mention that PR. Note, however, that we don't have error codes in every response type, so the behaviour will not be uniform, unfortunately (in some cases, the best we can do is disconnect).",1,4,1,0,7,4,0
Looks good,1,0,0,0,21,1,0
 @mkouba Sure thing. I'm checking it out now.,1,4,0,1,11,4,0
I'm really happy with these changes. It reads much more cleanly and clears up several ambiguities.,1,0,0,0,14,4,0
"Jenkins, add to whitelist.",1,0,1,0,1,4,0
your mybatis config is missing.,1,0,0,0,18,2,0
"Created a discussion topic on this:
#9857
For now I'm going to close this, as I think we should rather fix the problem properly and make it easier to build Keycloak for everyone.",1,3,1,0,10,3,0
"LGTM, just minor comments.",1,0,0,0,24,1,0
"Good point. Thanks for the change, I'll merge it. Sorry for the regression.",1,0,1,0,22,2,0
Thanks!,1,0,0,0,10,3,0
"Jenkins, test this please.",1,0,0,0,12,5,0
LGTM,1,0,1,0,17,3,0
"Thank you. The change looks good.
I'll merge it later today.",1,0,1,0,7,3,0
LGTM. Feel free to merge.,1,0,0,0,10,4,1
"Merging then, thanks everyone!",1,0,0,0,12,3,0
Fixed at #3340,1,0,1,0,18,4,0
Thanks!,1,0,1,0,14,2,0
LGTM,1,0,0,0,15,3,0
"Merged, thanks @machi1990 !",1,0,0,0,3,1,0
"LGTM. Thanks Ismael, this is much clearer.",1,0,0,0,23,5,0
retest this please,1,0,0,0,2,3,0
"LGTM, thanks @DGuhr!",1,0,0,0,5,4,0
"delInodes.add(inode);
should be called before the if",1,2,0,0,10,1,1
Thanks for this fix. I have some console tests to run because of changes to UI and changes here make things back to normal.,1,0,0,0,5,5,0
" @luoli523
Thanks for working on this integration.
I'm reverting this patch since the feature is incomplete and relatively large. Could you reopen the changes to this WIP branch: https://github.com/amplab/tachyon/tree/oss. You will just need to change the branch when you open the PR from master to oss. When the integration is complete, we can merge the oss branch to master.",1,1,1,0,6,2,0
Thanks for the pull request. +1 Looks good to me!,1,0,1,0,1,3,0
But no worries. I will fix this after merging it.,1,0,0,0,11,3,0
LGTM.,1,0,1,0,5,4,1
"LGTM, merged.",1,0,0,0,20,1,0
LGTM.,1,0,0,0,19,3,0
LGTM,1,0,0,0,8,2,0
"alluxio-bot, merge this please.",1,0,1,0,3,2,0
This doesn't do anything. It's just a marker interface.,1,0,0,0,9,2,0
" @captainzmc Thanks for your contribution!
LGTM",1,3,0,1,22,2,0
+1 LGTM,1,0,0,0,23,5,0
"@gsmet HI Guillaume sorry for a delay. Hope everyone is happy with the latest update from Stuart, I certainly am :-).",1,3,0,1,2,3,1
Looks really good. Just two minor comments.,1,0,1,0,7,1,0
"Thanks for the PR, LGTM.",1,0,1,0,14,5,0
LGTM,1,0,0,0,2,2,0
"essentially LGTM, minor comments.
If you're happy with the validation improvements, go ahead and self-merge. If you want me to TAL, let me know.",1,1,1,0,3,3,0
Could you add some unit tests in ShadowPreparedStatementTest?,1,3,1,0,12,4,0
LGTM,1,0,1,0,12,4,1
Thank you for the fix. I'll merge it.,1,0,0,0,13,2,0
LGTM. Thanks for the patch!,1,0,0,0,22,4,0
"Oh, sorry, I've missed this PR.",1,1,0,0,16,5,0
"LGTM and #897 is closed, so go ahead 😄",1,0,0,0,21,1,0
Thanks for addressing the comments. LGTM.,1,0,0,0,18,2,0
@loaded02 Thanks.,1,1,0,0,9,2,0
Thanks for taking the time for this. Just a couple of comment on the required conf fields,1,0,0,0,12,4,0
" @Liangda-w Thanks,Hi @zhujunxxxxx Could you give a look one more?",1,4,1,0,3,1,0
"LGTM, +1",1,0,0,0,16,4,0
LGTM,1,0,1,0,12,2,1
Thanks!,1,0,0,0,19,1,1
👍 Just minor comment,1,0,0,0,20,3,0
dtto and same for the others,1,4,1,0,5,3,0
"Nice @apovzner, thanks for improving our system tests coverage!",1,0,0,0,7,5,0
 @geoand yes I will!,1,4,1,0,21,4,0
"Thank you for your contribution, please have a look for code review suggestions.",1,0,0,0,1,3,1
merging,1,0,1,0,15,4,0
"Jenkins, add to whitelist.",1,0,0,0,10,4,0
"Jenkins, test this please.",1,0,0,0,2,4,0
lgtm,1,0,0,0,10,4,0
"Left a minor comment, but the changes look good.",1,0,1,0,21,3,0
LGTM,1,0,0,0,16,5,0
" @benjaminjacobberg Thanks for the PR. It seems that this was already fixed in the PR sent by the other user, so I am closing this one. Let me know if something more is needed",1,4,0,0,3,1,0
" @mabartos Thanks, I am still seeing the issue above, so will create the follow-up JIRA",1,3,0,0,17,5,0
👍,1,0,1,0,18,3,0
"Thank you very much for the contribution.
I've merged the pull request to master.",1,0,0,1,17,1,0
"It is rewrite problem, we should not change parse module.
We should split insert column and insert values as 2 token .",1,0,0,0,21,2,0
"Jenkins, test this please.",1,0,0,0,9,2,0
Thanks!,1,0,0,0,2,4,0
I think this bug has been caused by #807...,1,1,0,0,23,5,0
Thanks @cbuescher! LGTM,1,0,0,0,4,4,0
Merging this…,1,0,1,0,23,2,0
  @rajinisivaram : Thanks for the patch. LGTM,1,1,0,0,2,2,0
"Thank you for the PR @hmlnarik, overall it looks really good. I have just few questions.",1,0,0,0,19,3,0
 @terrymanu Please review.,1,4,0,0,21,5,1
"alluxio-bot, merge this please.",1,0,0,0,12,5,0
"This has already been merged to the flip-6 branch, so this pull request can be closed.",1,0,0,1,11,5,0
"Looks good to me, lets merge this 👍",1,0,0,0,5,2,0
